name,total_number,fill_f_A,fill_f_p,l1_norm
SN2012Z,67216,0.6776,0.7797,0.5
SN2013aj,32783,0.3153,0.4321,2.0
SN2009md,92647,0.4521,0.6548,0.9
SN2009N,108437,0.2580,0.4315,2.0
SN2012ec,90312,0.9089,0.9279,1.2
SN2010A,7655,0.0971,0.7179,1.1
SN2012et,6537,0.1185,0.5543,1.1
SN2010dl,6,0.0001,0.0174,nan
SN2006my,109381,0.3097,0.4868,1.4
SN2006ob,2624,0.0286,0.3707,1.1
SN2006os,1336,0.0244,0.1746,1.9
SN1999br,119825,0.3957,0.6706,1.2
